"Plot Title: SN_740"
"#","Date Time, GMT-10:00","High Range, μS/cm (LGR S/N: 20494740, SEN S/N: 20494740, LBL: <Conduct_Hi>55,000)","Temp, °C (LGR S/N: 20494740, SEN S/N: 20494740, LBL: Temperature)","Specific Conductance, μS/cm (LGR S/N: 20494740)","Salinity, ppt (LGR S/N: 20494740)","Coupler Detached (LGR S/N: 20494740)","Coupler Attached (LGR S/N: 20494740)","Host Connected (LGR S/N: 20494740)","Stopped (LGR S/N: 20494740)","End Of File (LGR S/N: 20494740)"
312,01/06/19 09:20:13 AM,0.0,25.87,0.0,0.0123,,,,,
313,01/06/19 09:20:28 AM,0.0,25.88,0.0,0.0123,,,,,
314,01/06/19 09:20:43 AM,0.0,25.88,0.0,0.0123,,,,,
315,01/06/19 09:20:58 AM,0.0,25.88,0.0,0.0123,,,,,
316,01/06/19 09:21:13 AM,0.0,25.88,0.0,0.0123,,,,,
317,01/06/19 09:21:28 AM,0.0,25.89,0.0,0.0123,,,,,
318,01/06/19 09:21:43 AM,0.0,25.89,0.0,0.0123,,,,,
319,01/06/19 09:21:58 AM,0.0,25.91,0.0,0.0123,,,,,
320,01/06/19 09:22:13 AM,0.0,25.91,0.0,0.0123,,,,,
321,01/06/19 09:22:28 AM,0.0,25.92,0.0,0.0123,,,,,
322,01/06/19 09:22:43 AM,0.0,25.92,0.0,0.0123,,,,,
323,01/06/19 09:22:58 AM,0.0,25.92,0.0,0.0123,,,,,
324,01/06/19 09:23:13 AM,0.0,25.92,0.0,0.0123,,,,,
325,01/06/19 09:23:28 AM,0.0,25.93,0.0,0.0123,,,,,
326,01/06/19 09:23:43 AM,0.0,25.93,0.0,0.0123,,,,,
327,01/06/19 09:23:58 AM,0.0,25.93,0.0,0.0123,,,,,
328,01/06/19 09:24:13 AM,0.0,25.93,0.0,0.0123,,,,,
329,01/06/19 09:24:28 AM,0.0,25.94,0.0,0.0123,,,,,
330,01/06/19 09:24:43 AM,0.0,25.94,0.0,0.0123,,,,,
331,01/06/19 09:24:58 AM,0.0,25.94,0.0,0.0123,,,,,
332,01/06/19 09:25:13 AM,0.0,25.94,0.0,0.0123,,,,,
333,01/06/19 09:25:28 AM,0.0,25.95,0.0,0.0123,,,,,
334,01/06/19 09:25:43 AM,0.0,25.95,0.0,0.0123,,,,,
